userId,jobid,rating,timestamp
1,870,2.5,1260759144
1,110,3,1260759179
1,67,3,1260759182
1,543,2,1260759185
1,535,4,1260759205
1,809,2,1260759151
1,226,2,1260759187
1,556,2,1260759148
1,612,3.5,1260759125
1,770,2,1260759131
1,621,2.5,1260759135
1,505,1,1260759203
1,23,4,1260759191
1,847,4,1260759139
1,34,3,1260759194
1,599,2,1260759198
1,627,2,1260759108
1,359,2.5,1260759113
1,387,1,1260759200
1,173,3,1260759117
2,508,4,835355493
2,259,5,835355681
2,335,5,835355604
2,703,4,835355552
2,889,4,835355586
2,578,3,835356031
2,718,3,835355749
2,262,4,835355532
2,854,3,835356016
2,894,5,835355395
2,791,4,835355441
2,19,3,835355493
2,66,3,835355441
2,261,3,835355710
2,401,3,835355511
2,672,3,835355664
2,962,3,835355511
2,505,5,835355840
2,987,1,835355749
2,974,3,835355552
2,254,3,835355664
2,448,3,835355896
2,522,4,835355511
2,353,4,835355681
2,314,5,835355697
2,561,5,835355586
2,895,3,835355767
2,46,4,835355779
2,286,3,835355492
2,838,4,835355395
2,542,3,835355532
2,626,4,835356044
2,66,2,835355551
2,956,1,835355918
2,979,3,835355492
2,797,4,835355441
2,53,4,835355697
2,544,3,835355628
2,872,3,835355749
2,487,3,835355604
2,275,3,835355619
2,321,2,835355932
2,494,3,835355968
2,64,3,835356094
2,993,3,835355710
2,56,3,835356165
2,236,2,835356246
2,832,3,835355532
2,975,4,835355604
2,250,3,835355511
2,9,4,835355790
2,979,2,835355828
2,223,4,835355643
2,436,3,835355918
2,824,3,835355880
2,832,4,835355731
2,735,4,835355860
2,443,4,835355719
2,593,4,835355817
2,798,4,835355731
2,815,4,835356199
2,438,3,835355767
2,988,3,835356109
2,511,5,835355767
2,0,3,835355860
2,68,5,835355817
2,1012,3,835355790
2,926,3,835355779
2,817,3,835355441
2,446,5,835355697
2,372,5,835355395
2,785,5,835355395
2,8,3,835355511
2,442,3,835355932
2,251,4,835356141
2,889,4,835355978
3,972,3,1298861675
3,927,4,1298922049
3,960,3.5,1298861637
3,624,3,1298861761
3,1002,4.5,1298862418
3,542,5,1298862121
3,865,2.5,1298861589
3,248,5,1298862167
3,340,2.5,1298923242
3,517,3,1298862528
3,754,3,1298922100
3,1009,3,1298923247
3,567,3,1298921840
3,944,2,1298923260
3,94,3.5,1298932787
3,519,4,1298863157
3,34,3,1298861687
3,618,5,1298932770
3,804,3,1298921795
3,430,4,1298861628
3,187,3,1298861605
3,430,4,1298861658
3,165,3.5,1298922089
3,1002,4.5,1298923236
3,671,4,1298863143
3,116,4,1298921862
3,190,4,1298861753
3,769,3,1298861789
3,254,3,1298862710
3,653,3.5,1298861796
3,755,3,1298924017
3,9,3.5,1298922057
3,501,4,1298861733
3,14,4,1298921825
3,681,5,1298862874
3,283,3,1298861968
3,788,4,1298861633
3,353,5,1298863174
3,305,3,1298923266
3,759,3.5,1298862672
3,72,3,1298922080
3,903,2.5,1298921787
3,820,3,1298922065
3,696,3.5,1298861650
3,375,3,1298932766
3,415,3.5,1298862555
3,454,3.5,1298932740
3,671,4.5,1298862361
3,339,4.5,1298862467
3,762,3,1298922071
3,657,4,1298922130
4,602,4,949810645
4,286,5,949919556
4,224,5,949810582
4,135,5,949919681
4,443,4,949811346
4,306,3,949811346
4,880,3,949920047
4,989,5,949779042
4,513,4,949778802
4,518,5,949895708
4,291,3,949810618
4,923,5,949810582
4,784,5,949919763
4,955,5,949919681
4,816,5,949949538
4,250,4,949895887
4,290,3,949810534
4,252,3,949919883
4,54,3,949895772
4,360,4,949810688
4,671,1,949920135
4,330,4,949919802
4,781,4,949920028
4,662,4,949811315
4,131,5,949810582
